"","WBid","gene_name","transcript_name","type","osc","Amplitude","Phase","delta"
"82","WBGene00002039","hum-6","T10H10.1","Coding_transcript",TRUE,0.991244017350137,235.850825409513,"up"
"83","WBGene00002051","ifa-3","F52E10.5","Coding_transcript",TRUE,1.5902601960491,260.904075012312,"up"
"84","WBGene00002096","ins-13","C17C3.18","Coding_transcript",TRUE,2.10329483002849,130.386240689867,"down"
"85","WBGene00002116","ins-33","W09C5.4","Coding_transcript",TRUE,0.66040280302761,194.905969251277,"up"
"86","WBGene00002181","kal-1","K03D10.1","Coding_transcript",FALSE,NA,NA,"up"
"87","WBGene00002199","kin-15","M176.6","Coding_transcript",TRUE,2.51572910743701,105.962215964772,"down"
"88","WBGene00002200","kin-16","M176.7","Coding_transcript",TRUE,2.13211540195167,131.415845965795,"up"
"89","WBGene00002203","kin-20","F46F2.2","Coding_transcript",TRUE,0.877474663712228,4.82500317367041,"down"
"90","WBGene00002248","lam-3","T22A3.8","Coding_transcript",TRUE,1.16574773612685,195.481305206772,"up"
"91","WBGene00002252","lat-2","B0286.2","Coding_transcript",TRUE,0.987044632629455,12.6247213730358,"down"
"92","WBGene00002827","let-653","C29E6.1","Coding_transcript",TRUE,2.62337383780706,184.185114930117,"up"
"93","WBGene00003055","lon-1","F48E8.1","Coding_transcript",TRUE,0.65470305659443,251.865559931422,"up"
"94","WBGene00003057","lon-3","ZK836.1","Coding_transcript",TRUE,3.7176472595466,284.338619811314,"up"
"95","WBGene00003089","ltd-1","K02C4.4","Coding_transcript",TRUE,0.99904781298943,331.829610454364,"down"
"96","WBGene00003107","mab-10","R166.1","Coding_transcript",TRUE,1.84344496587753,215.921146933538,"up"
"97","WBGene00003144","max-2","Y38F1A.10","Coding_transcript",TRUE,0.777698674873858,19.7430443948574,"down"
"98","WBGene00003482","mua-3","K08E5.3","Coding_transcript",TRUE,1.84262997793513,216.55205631386,"up"
"99","WBGene00003485","mua-6","W10G6.3","Coding_transcript",TRUE,1.31094564038803,231.184114025521,"up"
"100","WBGene00003497","mup-4","K07D8.1","Coding_transcript",TRUE,2.44383512792009,18.4224325439934,"down"
"101","WBGene00003542","nas-23","R10H1.5","Coding_transcript",TRUE,3.77669435450655,14.774786576208,"down"
"102","WBGene00003547","nas-29","F58A6.4","Coding_transcript",TRUE,2.40671171987197,339.107064729352,"down"
"103","WBGene00003548","nas-30","Y95B8A.1","Coding_transcript",TRUE,3.48092712439381,38.7234737119428,"down"
"104","WBGene00003553","nas-37","C17G1.6","Coding_transcript",TRUE,2.8997437612655,256.095771181501,"up"
"105","WBGene00003554","nas-38","F57C12.1","Coding_transcript",TRUE,2.6103803907628,35.7145718480281,"down"
"106","WBGene00003566","ncx-1","Y113G7A.4","Coding_transcript",TRUE,0.9437043206983,177.564783793725,"up"
"107","WBGene00003568","ncx-3","ZC168.1","Coding_transcript",TRUE,0.859246253440759,147.117685161294,"up"
"108","WBGene00003622","nhr-23","C01H6.5","Coding_transcript",TRUE,2.10545064248724,178.112919265405,"up"
"109","WBGene00003664","nhr-74","C27C7.3","Coding_transcript",TRUE,1.80589818736118,222.018146473469,"up"
"110","WBGene00003703","nhr-113","ZK1025.9","Coding_transcript",TRUE,1.92895817800482,236.882700475202,"up"
"111","WBGene00003762","nlp-24","F35B12.7","Coding_transcript",TRUE,1.81561894725739,100.172622154129,"down"
"112","WBGene00003763","nlp-25","Y43F8C.1","Coding_transcript",TRUE,2.14761727381856,57.693728442901,"down"
"113","WBGene00003764","nlp-26","Y43F8C.2","Coding_transcript",TRUE,2.76501825632662,137.840708127268,"down"
"114","WBGene00003816","asns-1","F25G6.6","Coding_transcript",TRUE,2.32335791738331,25.771089864636,"down"
"115","WBGene00003887","osm-7","T05D4.4","Coding_transcript",TRUE,2.09141513452709,10.2752862159877,"down"
"116","WBGene00003915","pan-1","M88.6","Coding_transcript",TRUE,1.00238014407529,180.421222413596,"up"
"117","WBGene00003954","pcm-1","C10F3.5","Coding_transcript",FALSE,NA,NA,"up"
"118","WBGene00003968","peb-1","T14F9.4","Coding_transcript",TRUE,2.70284797303485,193.570362413341,"up"
"119","WBGene00003996","pgp-2","C34G6.4","Coding_transcript",TRUE,0.900786725588121,294.13559513911,"up"
"120","WBGene00004003","pgp-9","C47A10.1","Coding_transcript",TRUE,1.37026918108732,102.820925129181,"down"
"121","WBGene00004006","pgp-12","F22E10.1","Coding_transcript",TRUE,0.625155352254625,154.13796727511,"up"
"122","WBGene00004091","pps-1","T14G10.1","Coding_transcript",TRUE,1.43011017746972,314.75564123276,"down"
"123","WBGene00004120","pqn-32","F29C12.1","Coding_transcript",TRUE,3.54102794933884,302.891265374116,"down"
"124","WBGene00004127","pqn-40","F52D1.3","Coding_transcript",TRUE,3.88340682382274,337.266813046758,"down"
"125","WBGene00004133","pqn-46","F57B9.9","Coding_transcript",TRUE,3.40124412241206,299.903257810231,"down"
"126","WBGene00004134","pqn-47","F59B10.1","Coding_transcript",TRUE,1.23279590154409,190.554717884192,"up"
"127","WBGene00004140","pqn-55","R09E10.7","Coding_transcript",TRUE,0.970123789396721,206.86832952033,"up"
"128","WBGene00004153","pqn-71","T23F1.6","Coding_transcript",TRUE,3.50973881798229,79.2360746286418,"down"
"129","WBGene00004172","pqn-92","Y75B8A.27","Coding_transcript",TRUE,0.779354242729821,161.348887277583,"up"
"130","WBGene00004183","prk-2","F45H7.4","Coding_transcript",TRUE,1.20414884502397,34.0012518368882,"down"
"131","WBGene00004210","ptc-3","Y110A2AL.8","Coding_transcript",TRUE,2.00655828789299,286.626989135479,"down"
"132","WBGene00004216","ptr-1","C24B5.3","Coding_transcript",TRUE,1.62168605771005,316.623022481321,"down"
"133","WBGene00004217","ptr-2","C32E8.8","Coding_transcript",TRUE,1.8694731574295,327.284489751374,"down"
"134","WBGene00004218","ptr-3","C41D7.2","Coding_transcript",TRUE,1.9593711342041,41.8802292447886,"down"
"135","WBGene00004219","ptr-4","C45B2.7","Coding_transcript",TRUE,2.57899415043708,250.373087794019,"up"
